type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_percentage_actual_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-3200,4,1000,33.945497730140005,0.0014052600495386832,33.944504061229644,33.94649139905036,0.5102040816326531,115.35213468731433,0.0014117058231299217,115.35113646055375,115.3531329140749,30.819895030787123,114.574651780939
DDR4-3200,4,1500,23.15802679189674,0.007881188604690014,23.152453949990555,23.163599633802928,0.5102040816326531,113.85627648972539,0.002794322751655456,113.85430060515887,113.85825237429191,24.300409040187674,113.71367786580981
DDR4-3200,4,2000,17.624768089004363,0.002244059300226091,17.62318129945579,17.626354878552938,0.5102040816326531,113.05211926364484,0.02938624537419352,113.03134005026713,113.07289847702253,17.99985592285371,113.32773028771172
DDR4-3200,4,3000,11.906560861312862,0.004172486154027582,11.903610468058941,11.90951125456678,0.5102040816326531,112.35039345971977,0.00845212083728061,112.34441690776032,112.35637001167922,12.030323679967864,113.27463521439057
DDR4-3200,4,5000,7.255198078456,0.0015212369239324607,7.254122401511296,7.256273755400704,0.5102040816326531,112.26747892011475,0.012252350217567218,112.25881520019044,112.27614264003907,6.5646607412795746,113.51756780318617
DDR4-3200,4,40000,1.0097354338861766,0.0007889114654881405,1.009177589239174,1.010293278533179,0.5102040816326531,114.84929305184339,0.010174834965534622,114.8420983570418,114.85648774664497,2.3003693270008156,113.9737261238972
DDR4-3200,4,100000,0.4691394361401195,0.00043779275716226604,0.4688298699127757,0.4694490023674633,0.5102040816326531,115.56362441061928,0.006937369617104987,115.55871894951943,115.56852987171914,-0.33646309465382984,114.59087834634352
DDR4-3200,4,500000,0.17554755448049839,0.00047373545023417934,0.17521257293114934,0.17588253602984744,0.5102040816326531,115.53263877616479,0.027794319195138494,115.51298522458343,115.55229232774613,-0.9197490554697794,115.3167926403452
DDR4-3200,4,1000000,0.1413473173587563,0.000210208521728253,0.14119867748757906,0.14149595722993355,0.5102040816326531,115.53053517140087,0.005515665215552677,115.5266350071242,115.53443533567754,0.9765989127675354,116.09923717572234
DDR4-3200,6,0,140.15052223116885,0.037519097252422716,140.12399222307766,140.17705223926004,0.5154639175257731,535.867500825685,1.096165196089635,535.0923949822294,536.6426066691407,140.11060309537947,536.687204954392
DDR4-3200,6,5,140.07439537199198,0.042912481292851065,140.04405166547227,140.1047390785117,0.5154639175257731,536.6829365088881,0.1599598722450675,536.5698277985059,536.7960452192704,140.08779010424803,536.722102520965
DDR4-3200,6,10,139.98921362129252,0.006452323836724487,139.98465113935316,139.99377610323188,0.5154639175257731,539.6730658802761,0.15151839554890642,539.565926195309,539.7802055652433,140.07047625855347,536.9340735882314
DDR4-3200,6,15,140.0107514461716,0.07456098267682164,139.9580288697089,140.06347402263432,0.5154639175257731,536.3229188625736,1.2256102667979045,535.456281531829,537.1895561933183,140.05730226050588,537.260229910237
DDR4-3200,6,30,140.17389979407903,0.009618692456849447,140.16709835141666,140.18070123674144,0.5154639175257731,537.861083975742,1.1618680875218124,537.039519172211,538.6826487792729,140.04690881231542,537.637683241027
DDR4-3200,6,35,140.04610438543307,0.07993150829730342,139.98958427388558,140.10262449698058,0.5154639175257731,535.522734921494,0.16877322662528269,535.4033942284645,535.6420756145235,140.03793661619244,538.0035453346485
DDR4-3200,6,50,139.99059061543133,0.01354612731007999,139.98101205695156,140.0001691739111,0.5154639175257731,538.7226998079104,0.6221883581289165,538.2827462007021,539.1626534151187,140.01817406573042,541.2961819083085
DDR4-3200,6,55,140.0659119000618,0.05699853440774781,140.0256078498644,140.1062159502592,0.5154639175257731,538.1547035856672,0.11084717727876013,538.0763227949379,538.2330843763964,139.98784028448574,559.5566491814699
DDR4-3200,6,70,140.0475175587519,0.09977439182465803,139.97696640970392,140.11806870779986,0.5154639175257731,539.4642914400654,0.6905837823933016,538.9759749645576,539.9526079155731,139.8917265287078,558.5952980080571
DDR4-3200,6,90,139.81294540021239,0.010432261157737236,139.80556867760464,139.82032212282013,0.5154639175257731,539.4041893262378,1.1945176538598037,538.5595377929465,540.2488408595291,140.02734814492234,530.177371194472
DDR4-3200,6,100,140.05885793877263,0.05857905765219371,140.01743628987123,140.100279587674,0.5154639175257731,536.2665019747554,0.10343494980457253,536.1933624203369,536.339641529174,141.05099005059768,477.0713380159315
DDR4-3200,6,120,140.1680591053291,0.066398802403034,140.12110806188724,140.21501014877094,0.5154639175257731,498.5965872004293,1.4847300246096935,497.54672453179654,499.6464498690621,144.00393296705565,406.4024581420893
DDR4-3200,6,140,140.4665873262395,0.0038412530685181063,140.4638711501465,140.4693035023325,0.5154639175257731,270.31361452490967,0.8979775720415836,269.67864849436563,270.9485805554537,143.19871379196,326.0905259177182
DDR4-3200,6,160,141.6309686386313,0.011851826744775173,141.6225881315706,141.63934914569197,0.5154639175257731,181.42606669810237,0.04375328692565139,181.39512845221805,181.4570049439867,138.57661695289295,245.37712622693343
DDR4-3200,6,180,140.7124561576286,0.019339515923780342,140.698781054774,140.72613126048316,0.5154639175257731,142.92345391073673,0.0964736837232048,142.85523671477,142.99167110670345,131.64450188222756,173.61732070513742
