type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,latency_mean,latency_std,latency_min,latency_max
DDR4-2600,12,45,122.45968374159452,0.16509709672424117,122.27719317030329,122.59867779569676,1288.9017666,2.2887543480835664,1287.28337288,1290.52016032
DDR4-2600,12,50,122.57260618797602,0.0742362519657213,122.49948969943988,122.64791369590195,1273.5341971225,3.529323970436776,1271.03858821,1276.029806035
DDR4-2600,12,55,118.69469924073177,0.16241235637088253,118.56481481436933,118.87679648087861,1333.7818863950001,0.337708223642434,1333.54309062,1334.02068217
DDR4-2600,12,60,122.48752746710765,0.08126496129581387,122.42106306618797,122.57812565480907,1276.6894656549998,0.34042257323004604,1276.448750545,1276.930180765
DDR4-2600,12,65,122.67661755497795,0.09892300262578375,122.57372062318593,122.77101862870333,1271.6931237150002,4.1996235985985555,1268.72354139,1274.66270604
DDR4-2600,12,70,117.84938602839902,0.2489668198904777,117.58362792344958,118.07720690330535,1299.050306615,0.5469831294094201,1298.663531135,1299.437082095
DDR4-2600,12,80,122.00847485327402,0.10134286161517192,121.89264209105063,122.08079449780503,1274.4675748875,1.813828542766579,1273.185004425,1275.75014535
DDR4-2600,12,90,122.43748530258806,0.06404589067522594,122.36695246092626,122.49200567879745,1255.20940344,1.031039892980024,1254.48034814,1255.93845874
DDR4-2600,12,100,122.36074379087438,0.0983230312447777,122.27278666868868,122.46689209513679,1254.9185754575,2.903369267729301,1252.86558336,1256.971567555
DDR4-2600,12,120,118.06146814371147,0.13096137758605314,117.94263496962543,118.2018778784382,1244.287717325,0.6080257062145005,1243.857778225,1244.717656425
DDR4-2600,12,140,122.50182219551671,0.14091751393028812,122.34229150608351,122.60934028926862,1217.6426232825,3.9773943092168142,1214.830180795,1220.45506577
DDR4-2600,12,160,117.79403568797609,0.113571347395067,117.67806501678751,117.90504510788294,1205.7284272299999,1.5354338183239369,1204.642711565,1206.814142895
DDR4-2600,12,180,121.8472652423958,0.1430440043311961,121.69247148364462,121.9745695998069,1198.6827974075,2.6349163055310907,1196.81963022,1200.545964595
DDR4-2600,12,200,115.00826723531554,0.3308849915539528,114.78994417795367,115.3889727928459,1229.1723085899998,0.7753593015754277,1228.62404677,1229.72057041
DDR4-2600,12,220,122.2663715762938,0.10764686923368127,122.14213269790847,122.33186359298443,1173.8301328025,1.5876650067138927,1172.70748411,1174.952781495
DDR4-2600,12,260,120.96811161240896,0.06523757008368034,120.9198946573575,121.04234278424174,1004.4288686924999,1.4431567546100568,1003.408402765,1005.44933462
DDR4-2600,12,300,120.39987185239777,0.03261309642064068,120.37813346438031,120.43737177908405,956.609539365,1.5674197864998307,955.501206205,957.717872525
DDR4-2600,12,340,119.36789660953461,0.038738905325535915,119.33388986667926,119.41006660302601,909.2507279275001,2.5496035966092228,907.447885935,911.05356992
DDR4-2600,12,380,117.9022097749441,0.05010016480828455,117.8572704278492,117.95622889897535,867.1406028775,0.40254653904229654,866.85595949,867.425246265
DDR4-2600,12,450,111.68616463314972,0.2566642940063474,111.40043628609507,111.89719069914518,879.8799764524999,1.5134101891998923,878.809833845,880.95011906
DDR4-2600,12,550,105.87812690174069,0.6508675395469878,105.1295803630686,106.31059908530607,795.089076515,1.4885877607250484,794.036486015,796.141667015
DDR4-2600,12,600,103.01303185993174,0.31921633945116035,102.77103732702068,103.37481545470237,719.2919939149999,2.192863717694956,717.74140511,720.84258272
DDR4-2600,12,700,104.13675155440205,0.05627849392726627,104.07284358674956,104.1789083629164,577.8598836025001,1.7774268978031187,576.60305299,579.116714215
DDR4-2600,12,800,97.2736527093549,0.06256518998337976,97.22049899182423,97.34260190263414,534.836337985,0.4281137418764803,534.533615855,535.139060115
DDR4-2600,12,900,91.92965052825797,0.12116244365932671,91.79659621299643,92.03363098542579,524.5136102275001,1.4161321516670196,523.51225358,525.514966875
DDR4-2600,12,1000,86.93481412210305,0.04476913342851848,86.90618173947264,86.98640517500914,495.69890426,0.10096726109766285,495.627509625,495.770298895
DDR4-2600,12,1500,65.63460964003964,0.032744895508531185,65.60346211579605,65.66874686040568,396.6959221825,1.620380680803724,395.550140015,397.84170435
DDR4-2600,12,2000,52.38882472456674,0.03586438388913878,52.34873703073859,52.41786782891702,344.49949226499996,0.5612519078575661,344.102627235,344.896357295
DDR4-2600,12,3000,36.993046190872064,0.018716392636907952,36.97303211159385,37.01011586644423,303.75339805,0.00994473562849426,303.74636606,303.76043004
DDR4-2600,12,5000,23.002655068484263,0.0392138337773352,22.960348348895415,23.03778451026683,282.6011424925,0.004190311249766361,282.598179495,282.60410549
DDR4-2600,12,40000,3.128894471907511,0.05922555244302474,3.0620230594870192,3.1747328678602202,257.916885515,0.2763408585505355,257.72148302,258.11228801
DDR4-2600,12,100000,1.3720267758074307,0.025039634507814233,1.3559805054858833,1.400879486164564,253.92264862500002,0.5849335998531132,253.50903811,254.33625914
DDR4-2600,12,500000,0.3382602879531513,0.00974594084518799,0.327131564393548,0.34527275087180753,261.419709355,0.1773353237959376,261.294314345,261.545104365
DDR4-2600,12,1000000,0.18421405718925307,0.009188243455153013,0.17369381060452596,0.19066461176420516,260.406197915,0.004905609863023383,260.402729125,260.409666705
DDR4-2600,16,0,120.69184261403632,0.0641699972789773,120.64526654743004,120.76503847303242,1625.2843510925,0.40485747006930944,1624.99807363,1625.570628555
DDR4-2600,16,5,120.70968565912203,0.06734609688743701,120.6322039644285,120.75416558361896,1630.8287622775001,0.36898495311020957,1630.567850515,1631.08967404
DDR4-2600,16,10,121.26542034052507,0.05904794633164423,121.2013383959623,121.3176303051406,1591.0718438224999,0.42592471252284425,1590.77066957,1591.373018075
DDR4-2600,16,15,120.85076381001223,0.06846496754310716,120.8005616732835,120.92875401602868,1577.6456829825001,1.3160365481696812,1576.715104615,1578.57626135
DDR4-2600,16,20,121.81095988836775,0.19633492710746286,121.6173268622571,122.00988953476897,1223.867058445,1.6082866198676429,1222.72982807,1225.00428882
DDR4-2600,16,25,122.5509574971234,0.17521379640251314,122.35346485609647,122.68774809453802,1214.7385085625,1.8219098681788797,1213.45022374,1216.026793385
DDR4-2600,16,30,117.87008912193001,0.9425401958163874,116.79732779843393,118.56543323179673,1204.7182157124998,0.3074242862376571,1204.500833915,1204.93559751
DDR4-2600,16,35,120.25143288121028,0.17854806677468754,120.04548926433516,120.36276125295326,1207.80470555,0.7464550603152158,1207.276882115,1208.332528985
DDR4-2600,16,40,122.34889682422506,0.14028219446222953,122.18711884912699,122.43685752747912,1204.5735959975,0.34277512809771316,1204.33121738,1204.815974615
DDR4-2600,16,45,116.9006532939538,0.06312392474745773,116.84337614077985,116.9683319226506,1244.4312315050001,0.9548284402915815,1243.75606584,1245.10639717
